sale_id,order_number,quantity_ordered,price_each,sales,order_date,status,qtr_id,month_id,year_id,product_line,product_code,customer_name,city,state,postal_code,country,deal_size,data_quality_score,created_timestamp
26,10417,66,100.00,7516.08,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_1678,Euro Shopping Channel,Madrid,,28034,Spain,Unknown,100.00,2026-01-26 15:06:47
27,10103,26,100.00,5404.62,2003-01-29,Shipped,1,1,2003,Classic Cars,S10_1949,Baane Mini Imports,Stavern,,4110,Norway,Unknown,100.00,2026-01-26 15:06:47
28,10112,29,100.00,7209.11,2003-03-24,Shipped,1,3,2003,Classic Cars,S10_1949,Volvo Model Replicas, Co,Lule,,S-958 22,Sweden,Unknown,100.00,2026-01-26 15:06:47
29,10126,38,100.00,7329.06,2003-05-28,Shipped,2,5,2003,Classic Cars,S10_1949,Corrida Auto Replicas, Ltd,Madrid,,28023,Spain,Unknown,100.00,2026-01-26 15:06:47
30,10140,37,100.00,7374.10,2003-07-24,Shipped,3,7,2003,Classic Cars,S10_1949,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
31,10150,45,100.00,10993.50,2003-09-19,Shipped,3,9,2003,Classic Cars,S10_1949,Dragon Souveniers, Ltd.,Singapore,,79903,Singapore,Unknown,100.00,2026-01-26 15:06:47
32,10163,21,100.00,4860.24,2003-10-20,Shipped,4,10,2003,Classic Cars,S10_1949,Classic Legends Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
33,10174,34,100.00,8014.82,2003-11-06,Shipped,4,11,2003,Classic Cars,S10_1949,Australian Gift Network, Co,South Brisbane,QU,4101,Australia,Unknown,100.00,2026-01-26 15:06:47
34,10183,23,100.00,5372.57,2003-11-13,Shipped,4,11,2003,Classic Cars,S10_1949,Classic Gift Ideas, Inc,Philadelphia,PA,71270,USA,Unknown,100.00,2026-01-26 15:06:47
35,10194,42,100.00,7290.36,2003-11-25,Shipped,4,11,2003,Classic Cars,S10_1949,Saveley & Henriot, Co.,Lyon,,69004,France,Unknown,100.00,2026-01-26 15:06:47
36,10206,47,100.00,9064.89,2003-12-05,Shipped,4,12,2003,Classic Cars,S10_1949,Canadian Gift Exchange Network,Vancouver,BC,V3F 2K1,Canada,Unknown,100.00,2026-01-26 15:06:47
37,10215,35,100.00,6075.30,2004-01-29,Shipped,1,1,2004,Classic Cars,S10_1949,West Coast Collectables Co.,Burbank,CA,94019,USA,Unknown,100.00,2026-01-26 15:06:47
38,10228,29,100.00,6463.23,2004-03-10,Shipped,1,3,2004,Classic Cars,S10_1949,Cambridge Collectables Co.,Cambridge,MA,51247,USA,Unknown,100.00,2026-01-26 15:06:47
39,10245,34,100.00,6120.34,2004-05-04,Shipped,2,5,2004,Classic Cars,S10_1949,Super Scale Inc.,New Haven,CT,97823,USA,Unknown,100.00,2026-01-26 15:06:47
40,10258,32,100.00,7680.64,2004-06-15,Shipped,2,6,2004,Classic Cars,S10_1949,Tokyo Collectables, Ltd,Minato-ku,TO,106-0032,Japan,Unknown,100.00,2026-01-26 15:06:47
41,10270,21,100.00,4905.39,2004-07-19,Shipped,3,7,2004,Classic Cars,S10_1949,Souveniers And Things Co.,Chatswood,NS,2067,Australia,Unknown,100.00,2026-01-26 15:06:47
42,10280,34,100.00,8014.82,2004-08-17,Shipped,3,8,2004,Classic Cars,S10_1949,Amica Models & Co.,Torino,,10100,Italy,Unknown,100.00,2026-01-26 15:06:47
43,10291,37,100.00,7136.19,2004-09-08,Shipped,3,9,2004,Classic Cars,S10_1949,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,Unknown,100.00,2026-01-26 15:06:47
44,10304,47,100.00,10172.70,2004-10-11,Shipped,4,10,2004,Classic Cars,S10_1949,Auto Assoc. & Cie.,Versailles,,78000,France,Unknown,100.00,2026-01-26 15:06:47
45,10312,48,100.00,11623.70,2004-10-21,Shipped,4,10,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Unknown,100.00,2026-01-26 15:06:47
46,10322,40,100.00,6000.40,2004-11-04,Shipped,4,11,2004,Classic Cars,S10_1949,Online Diecast Creations Co.,Nashua,NH,62005,USA,Unknown,100.00,2026-01-26 15:06:47
47,10333,26,100.00,3003.00,2004-11-18,Shipped,4,11,2004,Classic Cars,S10_1949,Mini Wheels Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
48,10347,30,100.00,3944.70,2004-11-29,Shipped,4,11,2004,Classic Cars,S10_1949,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
49,10357,32,100.00,5691.84,2004-12-10,Shipped,4,12,2004,Classic Cars,S10_1949,Mini Gifts Distributors Ltd.,San Rafael,CA,97562,USA,Unknown,100.00,2026-01-26 15:06:47
50,10369,41,100.00,4514.92,2005-01-20,Shipped,1,1,2005,Classic Cars,S10_1949,Collectables For Less Inc.,Brickhaven,MA,58339,USA,Unknown,100.00,2026-01-26 15:06:47
51,10381,36,100.00,8254.80,2005-02-17,Shipped,1,2,2005,Classic Cars,S10_1949,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
52,10391,24,100.00,2416.56,2005-03-09,Shipped,1,3,2005,Classic Cars,S10_1949,Anna's Decorations, Ltd,North Sydney,NS,2060,Australia,Unknown,100.00,2026-01-26 15:06:47
53,10411,23,100.00,4140.23,2005-05-01,Shipped,2,5,2005,Classic Cars,S10_1949,Quebec Home Shopping Network,Montreal,QU,H1J 1C3,Canada,Unknown,100.00,2026-01-26 15:06:47
54,10424,50,100.00,12001.00,2005-05-31,In Process,2,5,2005,Classic Cars,S10_1949,Euro Shopping Channel,Madrid,,28034,Spain,Unknown,100.00,2026-01-26 15:06:47
55,10107,39,99.91,3896.49,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
56,10120,29,96.34,2793.86,2003-04-29,Shipped,2,4,2003,Motorcycles,S10_2016,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
57,10134,27,100.00,3307.77,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_2016,Lyon Souveniers,Paris,,75508,France,Unknown,100.00,2026-01-26 15:06:47
58,10145,37,100.00,5192.95,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_2016,Toys4GrownUps.com,Pasadena,CA,90003,USA,Unknown,100.00,2026-01-26 15:06:47
59,10159,37,100.00,5016.83,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_2016,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
60,10168,27,100.00,3660.93,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_2016,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
61,10180,42,100.00,4695.60,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_2016,Daedalus Designs Imports,Lille,,59000,France,Unknown,100.00,2026-01-26 15:06:47
62,10188,38,96.34,3660.92,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_2016,Herkku Gifts,Bergen,,N 5804,Norway,Unknown,100.00,2026-01-26 15:06:47
63,10201,24,100.00,3025.92,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_2016,Mini Wheels Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
64,10210,23,100.00,3009.09,2004-01-12,Shipped,1,1,2004,Motorcycles,S10_2016,Osaka Souveniers Co.,Osaka,OS,530-0003,Japan,Unknown,100.00,2026-01-26 15:06:47
65,10223,47,100.00,5422.39,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_2016,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
66,10236,22,100.00,2852.08,2004-04-03,Shipped,2,4,2004,Motorcycles,S10_2016,Motor Mint Distributors Inc.,Philadelphia,PA,71270,USA,Unknown,100.00,2026-01-26 15:06:47
67,10251,44,100.00,5756.52,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_2016,Tekni Collectables Inc.,Newark,NJ,94019,USA,Unknown,100.00,2026-01-26 15:06:47
68,10263,40,100.00,4472.00,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_2016,Gift Depot Inc.,Bridgewater,CT,97562,USA,Unknown,100.00,2026-01-26 15:06:47
69,10275,22,100.00,2904.44,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_2016,La Rochelle Gifts,Nantes,,44000,France,Unknown,100.00,2026-01-26 15:06:47
70,10285,47,100.00,6484.59,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_2016,Marta's Replicas Co.,Cambridge,MA,51247,USA,Unknown,100.00,2026-01-26 15:06:47
71,10298,39,96.34,3757.26,2004-09-27,Shipped,3,9,2004,Motorcycles,S10_2016,Atelier graphique,Nantes,,44000,France,Unknown,100.00,2026-01-26 15:06:47
72,10308,34,100.00,4043.96,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_2016,Mini Classics,White Plains,NY,24067,USA,Unknown,100.00,2026-01-26 15:06:47
73,10318,45,100.00,5566.50,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_2016,Diecast Classics Inc.,Allentown,PA,70267,USA,Unknown,100.00,2026-01-26 15:06:47
74,10329,20,100.00,3176.00,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_2016,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
75,10339,40,68.92,2756.80,2004-11-23,Shipped,4,11,2004,Motorcycles,S10_2016,Tokyo Collectables, Ltd,Minato-ku,TO,106-0032,Japan,Unknown,100.00,2026-01-26 15:06:47
76,10361,26,51.15,1329.90,2004-12-17,Shipped,4,12,2004,Motorcycles,S10_2016,Souveniers And Things Co.,Chatswood,NS,2067,Australia,Unknown,100.00,2026-01-26 15:06:47
77,10374,39,100.00,5288.01,2005-02-02,Shipped,1,2,2005,Motorcycles,S10_2016,Australian Gift Network, Co,South Brisbane,QU,4101,Australia,Unknown,100.00,2026-01-26 15:06:47
78,10388,50,44.51,2225.50,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_2016,FunGiftIdeas.com,New Bedford,MA,50553,USA,Unknown,100.00,2026-01-26 15:06:47
79,10402,45,100.00,5833.80,2005-04-07,Shipped,2,4,2005,Motorcycles,S10_2016,Auto Canal Petit,Paris,,75016,France,Unknown,100.00,2026-01-26 15:06:47
80,10417,45,100.00,5887.35,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_2016,Euro Shopping Channel,Madrid,,28034,Spain,Unknown,100.00,2026-01-26 15:06:47
81,10107,27,100.00,6065.55,2003-02-24,Shipped,1,2,2003,Motorcycles,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
82,10120,46,100.00,9264.86,2003-04-29,Shipped,2,4,2003,Motorcycles,S10_4698,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
83,10134,31,100.00,7023.98,2003-07-01,Shipped,3,7,2003,Motorcycles,S10_4698,Lyon Souveniers,Paris,,75508,France,Unknown,100.00,2026-01-26 15:06:47
84,10145,33,100.00,5176.38,2003-08-25,Shipped,3,8,2003,Motorcycles,S10_4698,Toys4GrownUps.com,Pasadena,CA,90003,USA,Unknown,100.00,2026-01-26 15:06:47
85,10159,22,100.00,4132.70,2003-10-10,Shipped,4,10,2003,Motorcycles,S10_4698,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
86,10168,20,100.00,4183.00,2003-10-28,Shipped,4,10,2003,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
87,10180,41,100.00,8892.90,2003-11-11,Shipped,4,11,2003,Motorcycles,S10_4698,Daedalus Designs Imports,Lille,,59000,France,Unknown,100.00,2026-01-26 15:06:47
88,10188,45,100.00,8714.70,2003-11-18,Shipped,4,11,2003,Motorcycles,S10_4698,Herkku Gifts,Bergen,,N 5804,Norway,Unknown,100.00,2026-01-26 15:06:47
89,10201,49,100.00,8065.89,2003-12-01,Shipped,4,12,2003,Motorcycles,S10_4698,Mini Wheels Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
90,10210,34,100.00,6123.40,2004-01-12,Shipped,1,1,2004,Motorcycles,S10_4698,Osaka Souveniers Co.,Osaka,OS,530-0003,Japan,Unknown,100.00,2026-01-26 15:06:47
91,10223,49,100.00,9774.03,2004-02-20,Shipped,1,2,2004,Motorcycles,S10_4698,Australian Collectors, Co.,Melbourne,VI,3004,Australia,Unknown,100.00,2026-01-26 15:06:47
92,10237,39,100.00,7023.90,2004-04-05,Shipped,2,4,2004,Motorcycles,S10_4698,Vitachrome Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
93,10251,43,100.00,7078.23,2004-05-18,Shipped,2,5,2004,Motorcycles,S10_4698,Tekni Collectables Inc.,Newark,NJ,94019,USA,Unknown,100.00,2026-01-26 15:06:47
94,10263,41,100.00,8336.94,2004-06-28,Shipped,2,6,2004,Motorcycles,S10_4698,Gift Depot Inc.,Bridgewater,CT,97562,USA,Unknown,100.00,2026-01-26 15:06:47
95,10275,36,100.00,6901.92,2004-07-23,Shipped,3,7,2004,Motorcycles,S10_4698,La Rochelle Gifts,Nantes,,44000,France,Unknown,100.00,2026-01-26 15:06:47
96,10285,27,100.00,5438.07,2004-08-27,Shipped,3,8,2004,Motorcycles,S10_4698,Marta's Replicas Co.,Cambridge,MA,51247,USA,Unknown,100.00,2026-01-26 15:06:47
97,10299,29,100.00,6683.34,2004-09-30,Shipped,3,9,2004,Motorcycles,S10_4698,Toys of Finland, Co.,Helsinki,,21240,Finland,Unknown,100.00,2026-01-26 15:06:47
98,10308,20,100.00,4570.40,2004-10-15,Shipped,4,10,2004,Motorcycles,S10_4698,Mini Classics,White Plains,NY,24067,USA,Unknown,100.00,2026-01-26 15:06:47
99,10318,37,100.00,7667.14,2004-11-02,Shipped,4,11,2004,Motorcycles,S10_4698,Diecast Classics Inc.,Allentown,PA,70267,USA,Unknown,100.00,2026-01-26 15:06:47
100,10329,26,100.00,5868.20,2004-11-15,Shipped,4,11,2004,Motorcycles,S10_4698,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
101,10339,39,76.67,2990.13,2004-11-23,Shipped,4,11,2004,Motorcycles,S10_4698,Tokyo Collectables, Ltd,Minato-ku,TO,106-0032,Japan,Unknown,100.00,2026-01-26 15:06:47
102,10362,22,100.00,3664.10,2005-01-05,Shipped,1,1,2005,Motorcycles,S10_4698,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
103,10374,22,100.00,3834.38,2005-02-02,Shipped,1,2,2005,Motorcycles,S10_4698,Australian Gift Network, Co,South Brisbane,QU,4101,Australia,Unknown,100.00,2026-01-26 15:06:47
104,10388,21,86.77,1822.17,2005-03-03,Shipped,1,3,2005,Motorcycles,S10_4698,FunGiftIdeas.com,New Bedford,MA,50553,USA,Unknown,100.00,2026-01-26 15:06:47
105,10403,66,100.00,11886.60,2005-04-08,Shipped,2,4,2005,Motorcycles,S10_4698,UK Collectables, Ltd.,Liverpool,,WX1 6LT,UK,Unknown,100.00,2026-01-26 15:06:47
106,10417,56,100.00,9218.16,2005-05-13,Disputed,2,5,2005,Motorcycles,S10_4698,Euro Shopping Channel,Madrid,,28034,Spain,Unknown,100.00,2026-01-26 15:06:47
107,10105,50,100.00,7208.00,2003-02-11,Shipped,1,2,2003,Classic Cars,S10_4757,Danish Wholesale Imports,Kobenhavn,,1734,Denmark,Unknown,100.00,2026-01-26 15:06:47
108,10119,46,100.00,5004.80,2003-04-28,Shipped,2,4,2003,Classic Cars,S10_4757,Salzburg Collectables,Salzburg,,5020,Austria,Unknown,100.00,2026-01-26 15:06:47
109,10129,33,100.00,4398.24,2003-06-12,Shipped,2,6,2003,Classic Cars,S10_4757,Stylish Desk Decors, Co.,London,,WX3 6FW,UK,Unknown,100.00,2026-01-26 15:06:47
110,10143,49,100.00,5597.76,2003-08-10,Shipped,3,8,2003,Classic Cars,S10_4757,Mini Creations Ltd.,New Bedford,MA,50553,USA,Unknown,100.00,2026-01-26 15:06:47
111,10155,32,100.00,4526.08,2003-10-06,Shipped,4,10,2003,Classic Cars,S10_4757,Toys of Finland, Co.,Helsinki,,21240,Finland,Unknown,100.00,2026-01-26 15:06:47
112,10167,44,100.00,5924.16,2003-10-23,Cancelled,4,10,2003,Classic Cars,S10_4757,Scandinavian Gift Ideas,Boras,,S-844 67,Sweden,Unknown,100.00,2026-01-26 15:06:47
113,10178,24,100.00,3492.48,2003-11-08,Shipped,4,11,2003,Classic Cars,S10_4757,Alpha Cognac,Toulouse,,31000,France,Unknown,100.00,2026-01-26 15:06:47
114,10186,26,100.00,3854.24,2003-11-14,Shipped,4,11,2003,Classic Cars,S10_4757,Double Decker Gift Stores, Ltd,London,,WA1 1DP,UK,Unknown,100.00,2026-01-26 15:06:47
115,10197,45,100.00,5324.40,2003-11-26,Shipped,4,11,2003,Classic Cars,S10_4757,Enaco Distributors,Barcelona,,8022,Spain,Unknown,100.00,2026-01-26 15:06:47
116,10209,39,100.00,5197.92,2004-01-09,Shipped,1,1,2004,Classic Cars,S10_4757,Men 'R' US Retailers, Ltd.,Los Angeles,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
117,10222,49,100.00,5997.60,2004-02-19,Shipped,1,2,2004,Classic Cars,S10_4757,Collectable Mini Designs Co.,San Diego,CA,91217,USA,Unknown,100.00,2026-01-26 15:06:47
118,10248,20,100.00,2910.40,2004-05-07,Cancelled,2,5,2004,Classic Cars,S10_4757,Land of Toys Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
119,10261,27,100.00,3378.24,2004-06-17,Shipped,2,6,2004,Classic Cars,S10_4757,Quebec Home Shopping Network,Montreal,QU,H1J 1C3,Canada,Unknown,100.00,2026-01-26 15:06:47
120,10273,30,100.00,3508.80,2004-07-21,Shipped,3,7,2004,Classic Cars,S10_4757,Petit Auto,Bruxelles,,B-1180,Belgium,Unknown,100.00,2026-01-26 15:06:47
121,10283,25,100.00,2992.00,2004-08-20,Shipped,3,8,2004,Classic Cars,S10_4757,Royal Canadian Collectables, Ltd.,Tsawassen,BC,T2F 8M4,Canada,Unknown,100.00,2026-01-26 15:06:47
122,10295,24,100.00,3427.20,2004-09-10,Shipped,3,9,2004,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,Unknown,100.00,2026-01-26 15:06:47
123,10307,22,100.00,2692.80,2004-10-14,Shipped,4,10,2004,Classic Cars,S10_4757,Classic Gift Ideas, Inc,Philadelphia,PA,71270,USA,Unknown,100.00,2026-01-26 15:06:47
124,10316,33,100.00,4128.96,2004-11-01,Shipped,4,11,2004,Classic Cars,S10_4757,giftsbymail.co.uk,Cowes,IS,PO31 7PJ,UK,Unknown,100.00,2026-01-26 15:06:47
125,10325,47,64.93,3051.71,2004-11-05,Shipped,4,11,2004,Classic Cars,S10_4757,Baane Mini Imports,Stavern,,4110,Norway,Unknown,100.00,2026-01-26 15:06:47
126,10337,25,48.05,1201.25,2004-11-21,Shipped,4,11,2004,Classic Cars,S10_4757,Classic Legends Inc.,NYC,NY,10022,USA,Unknown,100.00,2026-01-26 15:06:47
127,10350,26,75.47,1962.22,2004-12-02,Shipped,4,12,2004,Classic Cars,S10_4757,Euro Shopping Channel,Madrid,,28034,Spain,Unknown,100.00,2026-01-26 15:06:47
128,10359,48,54.68,2624.64,2004-12-15,Shipped,4,12,2004,Classic Cars,S10_4757,Reims Collectables,Reims,,51100,France,Unknown,100.00,2026-01-26 15:06:47
129,10373,39,100.00,4046.25,2005-01-31,Shipped,1,1,2005,Classic Cars,S10_4757,Oulu Toy Supplies, Inc.,Oulu,,90110,Finland,Unknown,100.00,2026-01-26 15:06:47
130,10384,34,100.00,4846.70,2005-02-23,Shipped,1,2,2005,Classic Cars,S10_4757,Corporate Gift Ideas Co.,San Francisco,CA,,USA,Unknown,100.00,2026-01-26 15:06:47
131,10395,32,100.00,3370.56,2005-03-17,Shipped,1,3,2005,Classic Cars,S10_4757,Lyon Souveniers,Paris,,75508,France,Unknown,100.00,2026-01-26 15:06:47
132,10400,64,100.00,9661.44,2005-04-01,Shipped,2,4,2005,Classic Cars,S10_4757,The Sharp Gifts Warehouse,San Jose,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
133,10414,19,100.00,2764.88,2005-05-06,On Hold,2,5,2005,Classic Cars,S10_4757,Gifts4AllAges.com,Boston,MA,51003,USA,Unknown,100.00,2026-01-26 15:06:47
134,10103,42,100.00,5398.26,2003-01-29,Shipped,1,1,2003,Classic Cars,S10_4962,Baane Mini Imports,Stavern,,4110,Norway,Unknown,100.00,2026-01-26 15:06:47
135,10114,31,100.00,4305.28,2003-04-01,Shipped,2,4,2003,Classic Cars,S10_4962,La Corne D'abondance, Co.,Paris,,75012,France,Unknown,100.00,2026-01-26 15:06:47
136,10126,22,100.00,3347.74,2003-05-28,Shipped,2,5,2003,Classic Cars,S10_4962,Corrida Auto Replicas, Ltd,Madrid,,28023,Spain,Unknown,100.00,2026-01-26 15:06:47
137,10140,26,100.00,3188.12,2003-07-24,Shipped,3,7,2003,Classic Cars,S10_4962,Technics Stores Inc.,Burlingame,CA,94217,USA,Unknown,100.00,2026-01-26 15:06:47
138,10150,20,100.00,3191.20,2003-09-19,Shipped,3,9,2003,Classic Cars,S10_4962,Dragon Souveniers, Ltd.,Singapore,,79903,Singapore,Unknown,100.00,2026-01-26 15:06:47
139,10164,21,100.00,3536.82,2003-10-21,Resolved,4,10,2003,Classic Cars,S10_4962,Mini Auto Werke,Graz,,8010,Austria,Unknown,100.00,2026-01-26 15:06:47
140,10175,33,100.00,5362.83,2003-11-06,Shipped,4,11,2003,Classic Cars,S10_4962,Stylish Desk Decors, Co.,London,,WX3 6FW,UK,Unknown,100.00,2026-01-26 15:06:47
141,10183,28,100.00,3433.36,2003-11-13,Shipped,4,11,2003,Classic Cars,S10_4962,Classic Gift Ideas, Inc,Philadelphia,PA,71270,USA,Unknown,100.00,2026-01-26 15:06:47
142,10194,26,100.00,4263.74,2003-11-25,Shipped,4,11,2003,Classic Cars,S10_4962,Saveley & Henriot, Co.,Lyon,,69004,France,Unknown,100.00,2026-01-26 15:06:47
143,10207,31,100.00,4076.19,2003-12-09,Shipped,4,12,2003,Classic Cars,S10_4962,Diecast Collectables,Boston,MA,51003,USA,Unknown,100.00,2026-01-26 15:06:47
